Team,Season,player_season_gp,player_season_minutes,player_season_pts,player_season_dreb,player_season_oreb,player_season_reb,player_season_asts,player_season_stl,player_season_blk,player_season_turnover,player_season_pf,player_season_fga,player_season_fgm,player_season_fta,player_season_ftm,player_season_tpa,player_season_tpm,player_career_gp,player_career_minutes,player_career_pts,player_career_dreb,player_career_oreb,player_career_reb,player_career_asts,player_career_stl,player_career_blk,player_career_turnover,player_career_pf,player_career_fga,player_career_fgm,player_career_fta,player_career_ftm,player_career_tpa,player_career_tpm
BOS,2000,46,1058,411,54,121,176,99,42,17,68,107,357,154,112,81,63,20,470,11024,4292,474,1293,1768,1122,429,167,710,1033,3702,1586,1183,884,704,235
BOS,2001,59,1514,653,75,182,258,133,61,26,97,155,559,242,172,127,118,41,529,13219,5458,591,1616,2208,1291,526,219,873,1298,4720,2028,1441,1058,1011,343
BOS,2002,41,954,398,51,116,168,73,33,19,58,92,337,144,108,80,81,28,479,11970,4792,665,1550,2216,955,411,223,741,1197,4040,1789,1360,985,693,228
BOS,2003,40,992,394,57,116,173,69,32,25,55,100,332,145,101,75,81,28,388,9364,3855,441,1168,1610,744,301,225,564,905,3184,1430,1024,749,677,245
CHI,1985,46,1163,554,57,115,173,117,38,21,82,111,438,217,145,115,14,3,607,15494,7264,842,1948,2798,1542,557,291,1015,1472,5852,2838,1896,1491,316,97
CHI,1986,40,859,341,55,98,153,94,35,13,58,94,275,134,93,69,11,2,582,13768,5718,824,1807,2631,1443,522,258,841,1364,4680,2261,1451,1119,244,74
CHI,1987,39,949,400,55,110,166,109,33,19,63,93,326,157,107,82,12,3,719,19948,8538,1059,2689,3947,2291,768,441,1263,1759,6978,3398,2091,1592,477,149
CHI,1988,41,1058,498,59,106,166,111,38,25,62,98,391,190,136,109,23,7,637,15678,7029,926,2046,2973,1595,574,355,944,1412,5632,2752,1781,1360,489,163
CHI,1989,35,893,435,59,100,159,95,37,18,58,91,331,167,120,93,23,7,656,16700,7665,917,2088,3006,1752,634,334,992,1455,6096,2995,1922,1468,594,206
CHI,1990,45,1257,576,81,134,216,127,51,25,78,121,454,223,149,115,39,13,811,21231,9629,1245,2671,3916,2120,806,472,1249,1923,7668,3767,2448,1861,698,242
CHI,1991,47,1152,500,68,113,182,125,45,21,65,104,403,199,116,88,35,12,714,18133,7978,997,2155,3152,1916,681,371,1076,1656,6441,3146,1968,1493,582,198
CHI,1992,45,1114,479,75,129,205,129,41,23,60,94,380,192,115,86,25,8,637,16635,7278,961,2132,3093,1790,642,340,976,1471,5831,2852,1852,1405,506,174
CHI,1993,45,1021,383,77,113,191,104,32,25,54,95,314,155,93,66,20,7,681,15648,5912,921,2017,2939,1499,508,341,894,1485,4835,2333,1447,1054,552,197
CHI,1994,41,998,456,54,107,161,112,43,19,65,86,383,180,107,80,45,15,685,15614,7033,780,1889,2670,1732,652,316,1011,1407,5762,2713,1769,1338,772,267
CHI,1995,39,899,352,66,126,192,88,37,18,57,90,290,136,90,65,41,14,771,18910,8380,1158,2559,3717,1892,745,438,1227,1844,6782,3229,2261,1663,767,258
CHI,1996,43,984,413,72,125,197,93,38,18,60,94,330,158,101,74,57,21,755,19414,8820,1296,2887,4184,1900,785,493,1288,1759,7113,3453,2240,1656,766,258
CHI,1997,44,982,411,70,113,183,99,36,16,54,89,335,156,95,71,71,26,642,15350,6629,931,2091,3023,1603,645,307,980,1407,5458,2563,1676,1250,742,251
CHI,1998,36,669,226,40,62,103,64,26,12,32,68,194,87,56,40,34,11,420,9012,3314,446,1031,1477,873,354,206,550,914,2806,1263,853,620,490,167
CHI,1999,34,758,268,33,76,109,70,28,7,41,65,232,97,68,51,64,21,408,9610,3842,393,1036,1430,978,374,151,588,839,3147,1403,1019,774,726,260
CHI,2000,41,969,407,53,108,161,69,32,20,63,87,356,154,116,84,43,13,248,6076,2440,295,808,1103,499,209,135,349,552,2064,913,685,512,293,100
CHI,2001,46,1316,515,43,143,187,139,44,16,74,110,456,202,110,89,60,22,408,10615,3972,486,1417,1904,982,337,147,661,998,3394,1523,1007,773,438,151
CHI,2002,46,1074,420,54,137,192,87,32,23,62,96,359,163,102,75,50,17,343,7840,3023,341,1054,1396,661,237,173,470,740,2579,1149,760,559,467,164
CHI,2003,46,1145,448,69,151,221,90,35,25,72,109,383,172,122,88,42,14,389,10212,4169,554,1402,1957,952,384,228,656,941,3530,1592,1123,811,514,173
CHA,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,1988,42,714,251,37,73,110,89,29,9,44,74,222,99,61,47,18,5,556,12468,4878,564,1303,1868,1543,496,154,758,1158,4197,1935,1108,848,442,158
CHA,1989,39,737,314,42,84,127,79,27,8,48,74,275,126,72,55,19,6,506,11556,4809,557,1300,1857,1255,443,154,715,1091,4027,1879,1167,912,392,138
CHA,1990,47,1148,523,60,131,191,105,39,18,70,110,445,206,126,99,37,11,606,14631,6383,745,1638,2384,1285,521,235,883,1332,5312,2454,1639,1280,552,193
CHA,1991,56,1316,555,71,146,217,134,49,22,78,125,473,219,140,106,31,9,557,13213,5528,636,1428,2064,1275,479,194,773,1196,4642,2132,1370,1061,579,202
CHA,1992,60,1547,658,88,186,275,161,62,23,94,146,560,264,160,122,22,6,679,16673,6976,928,2068,2997,1453,568,373,1017,1579,5727,2679,1891,1431,540,187
CHA,1993,45,1138,535,60,124,185,130,42,18,75,100,431,207,135,106,40,14,616,15171,6733,770,1719,2490,1409,523,299,950,1391,5420,2562,1732,1351,709,257
CHA,1994,51,1415,620,76,179,256,163,48,31,89,116,493,236,162,126,59,20,599,15433,6776,824,2018,2843,1562,561,382,973,1346,5408,2590,1713,1310,784,284
CHA,1995,46,1209,518,51,122,174,155,46,14,73,102,433,198,117,91,82,30,550,14074,6125,683,1637,2321,1564,525,229,851,1220,5157,2376,1393,1079,813,293
CHA,1996,44,1127,464,60,138,199,99,34,19,65,111,360,174,118,90,66,25,638,15837,6934,796,1975,2771,1476,526,253,949,1488,5616,2627,1817,1415,725,264
CHA,1997,43,1307,555,54,142,197,137,43,18,79,106,434,203,139,107,104,41,601,16101,6568,660,1796,2457,1731,581,210,939,1344,5455,2491,1605,1219,1001,365
CHA,1998,39,982,386,44,100,144,91,36,18,59,87,318,140,103,78,71,25,555,14441,6088,655,1797,2452,1249,471,298,866,1326,5043,2284,1590,1208,853,311
CHA,1999,40,1073,423,47,122,169,95,36,19,62,84,338,154,120,89,68,26,519,14657,6284,674,1809,2484,1299,488,288,843,1214,5098,2334,1688,1269,941,347
CHA,2000,37,994,381,48,125,174,89,33,21,58,93,320,144,96,73,55,19,561,16098,6749,870,2160,3031,1394,523,352,986,1410,5457,2501,1924,1452,831,295
CHA,2001,43,1153,417,66,136,202,108,39,23,63,107,362,157,109,79,61,22,547,13840,5306,753,1722,2475,1175,488,325,783,1272,4523,2001,1453,1060,693,242
CHA,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLE,1985,41,1022,447,55,104,160,132,33,21,77,111,371,174,124,94,13,3,557,13555,6008,729,1420,2149,1389,440,325,931,1423,4951,2361,1661,1245,145,39
CLE,1986,40,863,328,60,117,177,96,30,19,63,102,269,131,87,64,6,1,682,17313,6990,964,2070,3034,1723,634,416,1115,1649,5600,2666,1939,1453,605,205
CLE,1987,47,1081,501,75,145,221,92,40,34,81,118,397,197,148,104,13,3,685,17749,7601,1063,2293,3356,1823,655,505,1130,1647,6076,2938,2032,1512,597,212
CLE,1988,49,1332,577,81,161,243,141,51,39,94,122,461,223,170,124,19,5,739,19088,7802,1231,2584,3816,1888,700,697,1202,1827,6257,3017,2173,1590,517,176
CLE,1989,40,975,429,58,120,179,102,35,31,65,90,336,164,121,91,25,8,621,14984,5965,917,1995,2912,1367,502,562,872,1417,4826,2313,1553,1142,544,195
CLE,1990,37,986,443,52,111,164,112,33,23,61,73,349,167,120,92,37,15,541,13192,5694,626,1494,2121,1401,446,322,786,1087,4542,2191,1419,1100,546,211
CLE,1991,44,1154,503,61,130,191,126,35,25,69,97,408,194,129,99,39,15,592,14490,6179,656,1636,2293,1569,479,338,830,1180,4967,2388,1479,1150,651,252
CLE,1992,42,1145,510,70,130,200,128,36,30,65,94,412,198,128,100,34,11,672,17281,7490,790,1892,2683,1929,591,385,1017,1381,6083,2908,1776,1369,797,303
CLE,1993,38,972,437,61,121,183,106,28,29,53,83,339,167,116,93,29,10,550,14797,6369,759,1804,2564,1486,466,347,866,1266,5096,2433,1670,1283,600,218
CLE,1994,38,842,327,54,103,158,85,29,17,46,80,265,125,86,65,27,10,627,15037,5885,849,1797,2646,1404,510,280,840,1364,4807,2249,1539,1179,560,206
CLE,1995,38,949,353,53,100,154,77,32,14,46,81,296,132,89,66,60,22,504,12382,4451,671,1540,2212,1094,433,181,646,1113,3704,1671,1158,851,713,256
CLE,1996,36,959,383,44,98,142,81,31,16,51,90,311,143,95,72,63,24,486,11095,4038,614,1447,2061,931,350,240,643,1195,3335,1544,1076,768,504,181
CLE,1997,39,881,383,49,98,147,67,28,16,59,85,302,138,105,76,78,29,459,10241,4156,505,1241,1747,953,370,208,668,1021,3400,1530,1157,873,602,221
CLE,1998,44,1060,405,62,119,182,83,40,20,69,113,322,147,124,91,48,18,530,11994,4772,631,1416,2047,1000,427,243,766,1277,3856,1753,1384,1048,604,217
CLE,1999,40,991,355,50,114,164,85,41,17,62,97,296,132,100,74,43,16,446,10151,3998,544,1351,1896,925,356,247,674,1039,3282,1500,1105,827,460,168
CLE,2000,35,808,301,34,89,124,79,28,10,50,75,264,115,77,58,33,11,482,12017,4738,602,1470,2072,1077,397,219,750,1099,3991,1810,1260,947,482,170
CLE,2001,49,1150,429,64,139,203,96,35,17,66,111,373,165,107,82,46,16,456,11360,4367,588,1421,2009,928,358,222,657,1044,3660,1646,1169,881,543,193
CLE,2002,45,945,328,63,129,193,58,24,28,58,95,284,128,95,66,19,5,355,8193,3014,502,1148,1650,654,245,212,525,852,2539,1159,877,625,229,70
CLE,2003,44,992,361,57,115,172,76,28,24,57,96,314,138,101,74,31,9,282,6293,2394,321,792,1113,494,182,166,370,619,2044,920,672,489,198,64
DAL,1985,43,1218,561,71,142,213,123,32,25,77,107,436,219,149,116,18,5,776,20804,9624,1024,2363,3388,1994,591,353,1231,1832,7562,3659,2495,1948,980,358
DAL,1986,44,1252,593,68,140,208,135,37,23,79,104,453,229,161,126,23,7,702,18888,8580,941,2234,3176,1946,561,334,1144,1662,6708,3251,2321,1820,742,256
DAL,1987,39,1022,484,63,125,188,109,32,21,63,91,366,183,138,108,24,8,748,19882,9002,990,2371,3362,2068,591,350,1208,1745,7014,3402,2445,1917,802,279
DAL,1988,41,1110,525,74,131,205,101,34,25,66,98,408,199,151,118,24,7,764,20441,9561,1089,2495,3584,1955,608,459,1272,1797,7435,3640,2636,2060,635,218
DAL,1989,40,1157,495,72,138,211,110,36,27,68,97,393,188,137,110,27,8,624,16506,7452,850,1971,2821,1552,500,367,989,1433,5794,2837,2043,1608,495,169
