Team,Season,team_o_fgm,team_o_fga,team_o_ftm,team_o_fta,team_o_oreb,team_o_dreb,team_o_reb,team_o_asts,team_o_pf,team_o_stl,team_o_to,team_o_blk,team_o_3pm,team_o_pts,team_d_fgm,team_d_fga,team_d_ftm,team_d_fta,team_d_oreb,team_d_dreb,team_d_reb,team_d_asts,team_d_pf,team_d_stl,team_d_to,team_d_blk,team_d_3pm,team_d_pts,team_pace,prev_winrate,win_rate,Class
BOS,1993,3498,7144,1517,1914,1085,2509,3595,2035,1774,641,1169,471,110,8623,3277,7136,1675,2176,1136,2355,3491,1947,1655,658,1147,400,208,8438,97.7677115,0.603658536585,0.390243902439,3
BOS,1994,3393,7075,1474,1957,1056,2408,3464,1963,1855,660,1208,449,124,8384,3294,7007,1711,2243,1112,2443,3555,2030,1707,663,1227,400,223,8523,97.887985,0.487804878049,0.426829268293,4
BOS,1995,3256,6952,1585,2135,1096,2350,3446,1855,1912,643,1273,400,250,8347,3330,6927,1637,2221,1097,2421,3519,2044,1830,671,1252,434,303,8600,97.4748345,0.408536585366,0.40243902439,4
BOS,1996,3171,6894,1669,2276,1103,2373,3476,1787,2008,632,1303,383,450,8461,3299,6838,1684,2295,1052,2462,3514,1957,1943,660,1273,471,395,8678,97.7007485,0.414634146341,0.182926829268,1
BOS,1997,3114,6954,1639,2241,1072,2307,3380,1792,1978,731,1322,360,503,8371,3330,6776,1696,2311,1022,2609,3631,2023,1896,693,1380,523,454,8811,98.760586,0.292682926829,0.439024390244,4
BOS,1998,3039,6950,1537,2081,1145,2116,3261,1804,2059,898,1336,340,441,8056,3114,6338,1839,2506,1010,2537,3547,1978,1773,708,1567,481,396,8464,97.0344815,0.310975609756,0.38,3
BOS,1999,2414,5549,1085,1520,938,1751,2689,1444,1698,720,1068,310,344,6257,2294,4938,1585,2131,828,1995,2823,1422,1360,578,1264,329,237,6411,94.9351465,0.409512195122,0.426829268293,4
BOS,2000,2435,5521,1183,1626,894,1939,2833,1407,1708,623,1033,271,345,6398,2342,5100,1523,2034,749,2039,2788,1408,1464,549,1117,365,267,6475,95.40934,0.403414634146,0.439024390244,4
BOS,2001,2913,6682,1621,2182,1002,2393,3396,1724,2087,781,1248,311,504,7952,2947,6348,1781,2370,872,2592,3464,1841,1915,644,1359,459,394,8071,95.2884255,0.432926829268,0.59756097561,5
BOS,2002,2812,6608,1559,2075,894,2468,3362,1715,1863,781,1160,314,645,7830,2866,6485,1623,2134,921,2728,3649,1843,1818,636,1304,457,472,7827,94.251068,0.518292682927,0.536585365854,5
BOS,2003,2776,6620,1489,1977,870,2520,3390,1648,1766,756,1093,298,709,7750,2800,6514,1586,2087,945,2778,3723,1813,1765,620,1270,421,488,7675,93.4999885,0.567073170732,0.439024390244,4
BOS,2004,2771,6462,1526,2044,850,2455,3305,1629,1797,745,1197,317,636,7705,2849,6538,1573,2120,1003,2637,3640,1853,1808,668,1295,387,509,7780,93.470787,0.487804878049,0.548780487805,5
CHI,1985,3379,6940,1926,2517,1107,2333,3440,2043,2133,654,1520,461,24,8708,3511,7146,1868,2432,1131,2324,3455,2140,2075,727,1418,480,64,8955,102.52865,0.396341463415,0.365853658537,3
CHI,1986,3464,7068,1951,2512,1177,2322,3499,1999,2118,615,1449,434,58,8939,3561,7174,1927,2510,1120,2311,3431,2107,2021,666,1310,469,80,9129,102.22852,0.414634146341,0.487804878049,4
CHI,1987,3429,7191,1838,2376,1264,2339,3603,2074,2044,643,1346,419,83,8779,3469,7024,1868,2441,1065,2339,3405,2099,1923,623,1283,491,92,8898,100.5397655,0.426829268293,0.609756097561,6
CHI,1988,3408,7085,1719,2237,1209,2429,3638,2146,1885,694,1260,456,67,8602,3306,6938,1702,2230,1025,2292,3317,2053,1862,590,1256,453,111,8426,98.342842,0.548780487805,0.573170731707,5
CHI,1989,3441,6991,1670,2163,1094,2456,3550,2181,1852,717,1295,425,115,8667,3318,7032,1681,2197,1050,2284,3334,2089,1830,641,1249,381,150,8469,98.7727965,0.591463414634,0.670731707317,6
CHI,1990,3489,7029,1660,2123,1046,2366,3412,2192,1880,768,1287,382,212,8851,3361,6958,1738,2291,1073,2298,3371,2104,1761,675,1333,365,198,8659,99.3005405,0.621951219512,0.743902439024,7
CHI,1991,3581,7107,1635,2125,1111,2310,3422,2192,1828,818,1215,413,202,9000,3314,6851,1669,2204,1065,2229,3294,2063,1784,649,1406,365,197,8494,98.5725055,0.707317073171,0.817073170732,8
CHI,1992,3637,7146,1596,2121,1160,2390,3551,2245,1722,747,1136,459,146,9017,3236,6927,1539,2001,1071,2166,3238,1928,1813,632,1345,350,204,8216,97.5251155,0.780487804878,0.69512195122,6
CHI,1993,3559,7186,1509,2042,1231,2361,3592,2206,1748,727,1095,445,191,8818,3172,6796,1554,2009,1060,2218,3278,1879,1765,613,1330,354,232,8132,96.089954,0.756097560976,0.670731707317,6
CHI,1994,3360,7010,1370,1905,1216,2337,3553,2117,1777,761,1204,382,238,8329,3084,6582,1527,2010,1012,2252,3264,1879,1728,662,1353,365,249,7944,94.5510825,0.682926829268,0.573170731707,5
CHI,1995,3218,6762,1405,1962,1124,2342,3467,2036,1856,768,1301,353,338,8179,2976,6470,1576,2133,1026,2246,3272,1776,1808,708,1410,371,326,7854,94.2561455,0.621951219512,0.878048780488,8
CHI,1996,3242,6801,1497,2034,1176,2352,3529,2001,1884,771,1236,348,493,8475,2901,6413,1553,2132,1024,2194,3218,1652,1874,641,1445,340,419,7775,93.84795,0.725609756098,0.841463414634,8
CHI,1997,3285,6907,1438,1926,1241,2436,3677,2087,1712,730,1142,338,533,8541,2889,6540,1364,1877,1034,2170,3205,1605,1794,609,1349,299,454,7596,92.693947,0.859756097561,0.756097560976,7
CHI,1998,3170,6862,1436,1928,1239,2449,3688,2047,1654,706,1143,342,417,8194,2847,6568,1365,1863,1052,2222,3274,1607,1753,640,1280,321,400,7460,92.054634,0.798780487805,0.26,2
CHI,1999,2301,5319,1166,1597,908,1916,2824,1484,1401,566,976,261,244,6013,2260,5134,1169,1601,783,1903,2687,1347,1424,550,1025,320,268,5958,91.203098,0.508048780488,0.207317073171,2
CHI,2000,2052,5008,1161,1637,802,1858,2661,1326,1510,541,1165,276,258,5523,2319,5091,1223,1658,775,1992,2767,1500,1520,648,1013,373,283,6145,91.080288,0.233658536585,0.182926829268,1
