Team,Season,team_o_fgm,team_o_fga,team_o_ftm,team_o_fta,team_o_oreb,team_o_dreb,team_o_reb,team_o_asts,team_o_pf,team_o_stl,team_o_to,team_o_blk,team_o_3pm,team_o_pts,team_d_fgm,team_d_fga,team_d_ftm,team_d_fta,team_d_oreb,team_d_dreb,team_d_reb,team_d_asts,team_d_pf,team_d_stl,team_d_to,team_d_blk,team_d_3pm,team_d_pts,team_pace,prev_winrate,player_season_gp,player_season_minutes,player_season_pts,player_season_dreb,player_season_oreb,player_season_reb,player_season_asts,player_season_stl,player_season_blk,player_season_turnover,player_season_pf,player_season_fga,player_season_fgm,player_season_fta,player_season_ftm,player_season_tpa,player_season_tpm,player_career_gp,player_career_minutes,player_career_pts,player_career_dreb,player_career_oreb,player_career_reb,player_career_asts,player_career_stl,player_career_blk,player_career_turnover,player_career_pf,player_career_fga,player_career_fgm,player_career_fta,player_career_ftm,player_career_tpa,player_career_tpm,coach_season_win_rate,coach_career_win_rate,win_rate,Class
ATL,1998,2849,6329,1620,2134,1063,2384,3447,1563,1631,677,1221,459,498,7817,2882,6574,1268,1724,1063,2188,3251,1709,1819,611,1192,352,416,7450,89.9875335,0.646341463415,39,1185,466,69,135,205,96,37,29,65,95,385,171,124,93,89,30,599,15822,5822,1012,2117,3130,1271,533,473,923,1493,4793,2191,1633,1194,731,246,0.626181957577,0.531631097561,0.62,6
ATL,1999,2213,5056,1394,1868,890,1958,2849,1175,1329,499,979,375,267,6087,2279,5285,1043,1424,831,1760,2591,1324,1547,498,896,307,269,5871,89.393299,0.61487804878,33,918,349,58,116,175,70,21,24,56,80,300,130,103,76,39,12,490,13288,5213,741,1763,2504,1108,349,366,848,1171,4415,1976,1387,1034,662,227,0.584647221127,0.531631097561,0.341463414634,3
ATL,2000,2269,5283,1258,1704,911,2034,2945,1165,1352,423,1005,363,227,6025,2404,5466,1082,1436,816,1921,2738,1390,1516,517,838,321,281,6173,91.226627,0.480731707317,37,863,314,53,112,165,77,25,21,55,74,271,117,95,69,35,10,343,8478,3184,464,1135,1600,782,264,228,540,743,2691,1202,862,629,429,150,0,0.361256544503,0.30487804878,3
ATL,2001,2938,6737,1425,1899,1087,2530,3617,1553,1790,567,1279,426,295,7597,3066,6834,1513,1974,1040,2504,3544,1811,1762,676,1079,456,384,8031,93.7232055,0.323170731707,49,1089,431,59,133,192,88,32,26,74,100,361,160,125,94,46,15,361,8346,3306,443,1067,1510,668,254,214,531,756,2714,1231,955,714,372,128,0.30487804878,0.361256544503,0.40243902439,4
ATL,2002,2888,6639,1430,1876,991,2467,3459,1607,1782,650,1247,368,378,7585,2993,6641,1551,2054,1016,2528,3544,1796,1671,700,1167,510,434,7972,93.178055,0.353658536585,44,1126,487,59,139,199,86,36,26,76,100,409,185,125,96,58,20,300,7205,2980,372,904,1277,515,219,195,473,655,2474,1123,803,611,349,121,0.353658536585,0.370409294149,0.426829268293,4
ATL,2003,2880,6522,1540,1976,946,2501,3447,1667,1742,639,1253,412,412,7712,3040,6790,1493,1984,1038,2471,3508,1813,1657,720,1098,453,459,8032,93.2156905,0.414634146341,44,1116,456,55,142,198,91,35,28,65,99,374,172,114,86,68,25,334,8449,3417,409,1088,1497,647,254,233,511,763,2806,1288,901,671,466,168,0.436363636364,0.379562043796,0.341463414634,3
BOS,1985,3668,7280,1883,2357,1137,2584,3721,2204,1865,659,1376,422,82,9303,3552,7507,1585,2032,1103,2257,3360,1999,2027,672,1275,321,71,8761,103.526485,0.762195121951,44,1212,592,85,161,247,132,35,30,83,109,469,234,147,117,14,4,708,19185,9288,1165,2845,4010,2033,618,549,1240,1774,7494,3718,2187,1712,406,139,0.735598705502,0.661184210526,0.817073170732,8
BOS,1986,3719,7318,1822,2277,1085,2691,3776,2337,1768,643,1346,462,124,9385,3543,7559,1564,2042,1097,2302,3399,1982,1965,683,1240,328,76,8727,103.844995,0.792682926829,42,1043,508,71,134,205,119,32,25,71,93,395,200,128,101,16,5,648,16774,7998,1004,2429,3433,1773,535,467,1088,1563,6435,3191,1908,1495,349,119,0.778932038835,0.661184210526,0.719512195122,7
BOS,1987,3681,7181,1762,2200,993,2669,3662,2404,1733,601,1330,518,172,9298,3457,7488,1622,2155,1163,2302,3465,1992,1938,723,1207,339,103,8639,102.54159,0.768292682927,42,1126,538,70,129,200,134,34,27,74,97,403,208,139,111,27,9,690,18194,8697,962,2536,3684,1860,581,557,1196,1678,6881,3449,2110,1644,451,153,0.752857142857,0.661184210526,0.69512195122,6
BOS,1988,3622,6978,1793,2226,931,2512,3444,2434,1757,590,1302,470,239,9276,3483,7380,1676,2198,1179,2240,3420,2060,1950,728,1166,342,117,8760,100.701735,0.707317073171,46,1355,650,87,163,250,156,39,31,84,113,493,253,158,129,41,15,716,18651,8852,1056,2457,3514,1925,632,472,1181,1698,7146,3528,2059,1616,532,178,0,0.413427561837,0.512195121951,5
