Season,Player,player_pts,player_reb,player_asts,player_stl,player_blk,player_turnover,player_pf,player_fg,player_ft,player_tp,player_fgp,player_ftp,player_tpp
2000,ALLENRA02,2258,502,482,148,30,247,236,786,427,259,0.957096928307,1.8063597532,0.91153977651
2000,ALSTORA01,77,31,69,13,0,22,27,30,9,8,0.357142857143,0.692307692308,0.266666666667
2000,AMAECJO01,659,271,77,31,31,124,177,240,179,0,0.775337837838,1.38082437276,0.0
2000,ANDERDE01,1323,382,318,123,14,180,198,429,358,107,0.678206461625,1.61265103056,0.671936758893
2000,ANTHOGR01,287,61,82,41,3,44,65,99,23,66,0.716732542819,0.657142857143,0.74213836478
2000,ARMSTDA01,1242,365,543,143,15,211,165,430,232,150,0.78995342648,1.80661105962,0.723259762309
2000,AUGMOST01,321,163,102,49,21,49,108,131,59,0,0.877443609023,1.65517241379,0.0
2000,AVERYWI01,161,30,77,13,5,45,48,58,28,17,0.881944444444,0.777777777778,0.771186440678
2000,BARRYJO01,332,97,134,29,6,56,73,110,64,48,0.81568627451,0.876712328767,0.634199134199
2000,BELLRA01,39,14,7,16,0,7,21,14,8,3,0.730158730159,0.571428571429,0.583333333333
2000,BENDEJO01,193,74,32,7,28,42,74,66,50,11,0.354838709677,0.735294117647,0.268292682927
2000,BENOIDA01,201,88,24,6,8,30,81,78,38,7,0.85141424991,1.79487179487,0.717948717949
2000,BESTTR01,957,241,510,114,11,133,261,364,191,38,0.876252765847,1.82743362832,0.714776632302
2000,BILLUCH01,716,163,262,51,11,112,183,249,145,73,0.589153889835,1.84210526316,0.376288659794
2000,BOOTHCA01,624,520,86,65,228,110,321,255,114,0,1.86969111969,2.90777000777,0.0
2000,BOWENBR01,635,247,134,85,55,76,277,216,98,105,0.675666953528,0.608695652174,0.585504885993
2000,BRADLSH01,643,679,43,40,258,98,293,246,150,1,1.01934465061,1.55574762316,0.166666666667
2000,BRANDTE01,1311,315,608,165,23,163,148,538,198,37,0.886101154918,1.87053571429,0.807081807082
2000,BROWNDE01,66,14,16,6,0,8,13,22,4,18,0.825174825175,0.8,0.920454545455
2000,BROWNPJ01,756,842,138,90,106,120,291,277,202,0,0.861760715141,1.67926084804,0.0
2000,BRUNSRI01,95,42,62,16,2,35,42,36,19,4,1.04010025063,2.39444444444,0.324675324675
2000,BRYANKO01,2409,515,435,139,55,271,275,869,599,72,0.933512153613,1.67397481779,0.628529411765
2000,BRYANMA01,21,27,3,2,2,6,35,9,3,0,0.9,0.6,0.0
2000,BUCKNGR01,259,178,52,38,9,29,130,95,66,3,0.915760869565,1.42839506173,0.619047619048
2000,BUFORRO01,269,86,20,21,7,33,83,112,26,19,0.764868603043,1.8275862069,0.921052631579
2000,BURRESC01,22,6,2,5,0,0,8,9,2,2,1.13333333333,0.75,0.333333333333
2000,CAFFEJA01,568,427,67,41,30,92,228,203,162,0,0.868690800571,1.31814707231,0.0
2000,CAMBYMA01,784,755,59,68,145,65,223,314,155,1,0.90875331565,1.05128205128,0.125
2000,CAMPBEL01,1143,687,111,65,151,161,317,409,325,0,0.836274376725,1.46446164673,0.0
2000,CARTEAN01,479,186,279,75,11,129,163,204,65,6,0.879934210526,0.631067961165,0.15
2000,CARTEVI01,2397,494,347,134,102,194,250,884,442,187,0.895859213251,1.54872402283,0.817896518974
2000,CASSESA01,1695,373,700,107,11,272,290,647,361,40,0.870065078679,1.72356452076,0.639455782313
2000,CAUSWDU01,76,86,5,8,18,23,68,32,12,0,0.376470588235,0.48,0.0
2000,CEBALCE01,527,218,41,32,14,65,125,204,75,44,1.58315383429,3.03925299507,0.909703196347
2000,CHILDCH01,833,442,788,130,33,347,532,307,140,79,1.60469652059,3.40246172688,1.31676774483
2000,CHRISDO01,1075,390,315,203,54,173,255,336,304,99,0.762317109585,1.72502210433,0.670117647059
2000,CLARKKE01,1315,891,150,66,311,184,504,509,297,0,1.7803707543,2.42685185185,0.0
2000,COLEMDE01,304,209,45,14,23,47,65,106,70,22,0.645098039216,1.46256038647,0.642156862745
2000,CROSHAU01,865,407,98,40,52,145,195,290,213,72,0.793723252496,1.73246753247,0.538164251208
2000,CROTTJO01,68,31,37,7,1,19,35,22,20,4,0.338461538462,1.89473684211,0.571428571429
2000,CURRYDE01,507,99,85,33,9,50,76,189,53,76,0.845958769634,1.67647058824,0.805964585275
2000,DANIEAN01,921,189,342,68,15,122,142,338,154,91,0.948603105364,1.7184981685,0.773936802091
2000,DAVISAN01,1266,920,129,32,173,156,265,452,362,0,0.933025404157,1.56545787056,0.0
2000,DAVISBA01,1309,452,656,198,41,248,300,468,268,105,0.907052017229,1.39084357779,0.710218978102
2000,DAVISDA01,581,610,103,45,76,68,206,242,97,0,0.496919917864,1.13157894737,0.0
2000,DECLEAN01,281,252,33,43,35,53,215,115,51,0,1.12583271651,1.07317073171,0.0
2000,DELKTO01,1052,277,164,78,17,106,178,401,192,58,0.8335558971,1.42359767892,0.721428571429
2000,DELNEVI01,516,166,257,52,6,68,158,216,82,2,1.88553113553,2.82467532468,0.188034188034
2000,DIVACVL01,1060,740,250,95,105,210,267,392,271,5,0.832119205298,1.45458646617,0.619047619048
2000,DOLEAMI01,502,287,66,40,41,61,249,226,50,0,0.792457305503,0.847457627119,0.0
2000,DUDLECH02,74,190,18,15,30,30,112,30,14,0,0.897260273973,0.388888888889,0.0
2000,DUNCATI01,2137,1185,294,84,227,292,290,822,485,8,0.987093640495,1.2564802356,1.25925925926
2000,EDNEYTY01,110,24,57,18,0,25,18,37,35,1,0.67032967033,0.897435897436,0.166666666667
2000,EISLEHO01,793,209,312,104,13,115,236,284,108,117,0.75108315863,1.8253968254,0.782384901344
2000,ELIEMA01,335,168,138,61,13,62,118,118,61,38,0.874377130868,1.54710144928,0.513846153846
2000,ELLIOSE01,466,196,95,28,31,64,101,166,71,63,0.806177338192,1.71428571429,0.789992952784
2000,ELLISLA01,796,508,93,68,77,113,303,307,175,7,0.855478802655,1.53971962617,0.318181818182
2000,FERRYDA01,523,264,88,32,22,56,201,205,22,91,0.871725490196,0.733333333333,0.905239687848
