Season,Player,player_pts,player_reb,player_asts,player_stl,player_blk,player_turnover,player_pf,player_fg,player_ft,player_tp,player_fgp,player_ftp,player_tpp
1991,ABDELAL01,444,264,32,25,16,68,136,183,78,0,0.993074792244,1.25247524752,0.0
1991,ADDISRA01,449,165,69,28,28,46,109,189,56,15,0.718584656085,0.736842105263,0.785714285714
1991,AGUIRMA01,896,245,138,53,12,118,180,355,170,16,0.764083015671,1.43695652174,0.411267605634
1991,AINGEDA01,1006,188,251,88,14,95,206,380,147,99,0.921597633136,1.65421471496,0.742976588629
1991,ALEXAVI01,596,342,33,47,62,93,184,246,104,0,1.12941176471,1.69127516779,0.0
1991,ANDERKE02,458,130,206,68,9,98,69,190,75,3,0.722916666667,1.74489795918,0.230769230769
1991,ANTHOGR01,510,153,355,75,10,111,198,180,137,13,0.78315842079,1.34656693517,0.562121212121
1991,ARMSTBJ01,970,169,313,60,5,112,121,398,134,40,0.933868686973,1.5956752346,0.696416497634
1991,ASKEWVI01,500,237,193,47,23,86,131,194,111,1,0.634234828496,0.69375,0.1
1991,ASKINKE01,232,151,41,41,15,48,116,89,26,28,0.864301552106,0.702702702703,0.942465753425
1991,BAGLEJO01,635,188,565,66,5,183,140,265,94,11,0.882816725608,1.41849217639,0.488095238095
1991,BARRODA01,671,88,133,55,4,62,95,259,60,93,1.00775862069,0.759493670886,1.03447185326
1991,BATTLJO01,868,124,174,41,6,109,127,350,166,2,0.894148562123,1.76099669464,0.117647058824
1991,BEDFOWI01,120,65,12,7,18,15,57,53,14,0,0.913223140496,0.636363636364,0.0
1991,BENJABE01,934,559,81,44,131,183,205,377,180,0,1.03935398813,1.18674698795,0.0
1991,BENOIDA01,523,346,40,25,49,81,154,211,92,9,0.895238095238,1.81,0.675824175824
1991,BIRDLA01,953,452,327,43,35,131,89,374,153,52,0.965699208443,1.67592592593,0.40625
1991,BLANKLA01,66,23,22,17,1,15,28,26,8,6,0.954545454545,0.727272727273,0.375
1991,BLAYLMO01,1034,285,523,185,42,159,198,446,129,13,0.741115078275,1.46186440678,0.388888888889
1991,BOWIESA01,1099,597,195,44,123,155,231,435,220,9,0.868804198266,1.42380952381,0.82
1991,BRANDTE01,652,184,346,84,23,147,124,274,103,1,0.819301164725,1.5564516129,0.0434782608696
1991,BROWNCH01,319,175,54,24,16,59,99,128,63,0,1.85590432649,2.34700099552,0.0
1991,BROWNDE01,411,91,195,34,11,66,90,171,64,5,0.925714285714,1.4358974359,0.227272727273
1991,BROWNMI01,724,541,92,44,36,121,239,251,222,0,0.852868852459,1.44715447154,0.0
1991,BROWNTO01,551,170,98,60,10,70,167,206,100,39,1.57492413474,2.73020176468,1.1624520466
1991,BRYANMA01,253,230,42,29,8,39,127,105,43,0,0.824625566005,1.41666666667,0.0
1991,BURTTST01,237,46,73,21,4,41,76,90,56,1,0.883552631579,1.56084656085,0.166666666667
1991,CAGEMI01,759,779,96,105,63,86,259,326,107,0,1.12524419362,1.61988304094,0.0
1991,CAMPBEL01,618,448,65,56,165,77,217,234,150,0,0.826443551494,1.28550074738,0.0
1991,CARRAN01,940,369,66,34,107,118,278,383,172,2,1.03589170392,1.3891509434,0.7
1991,CARTWBI01,635,422,125,33,18,102,201,263,109,0,0.941553661372,1.02312842362,0.0
1991,CEBALCE01,570,203,62,22,17,82,66,220,129,1,1.03219178082,1.40315315315,0.166666666667
1991,CHAMBTO01,1237,432,161,59,42,118,221,465,285,22,0.889561648724,1.67333199357,0.938775510204
1991,COLEMDE01,1378,663,226,61,102,259,180,519,316,24,0.990661851831,1.52526354053,0.469298245614
1991,COLESBI01,839,196,372,76,13,172,156,302,224,11,1.15454545455,1.62442748092,1.19230769231
1991,CONLOMA01,122,70,12,9,7,27,40,48,26,0,0.475247524752,1.75,0.0
1991,COOPEWA01,81,109,21,4,30,16,61,37,7,0,0.926829268293,0.636363636364,0.0
1991,CORBITY01,1740,1032,297,176,43,211,431,675,390,0,1.89010882735,3.35201647719,0.0
1991,CROWDCO01,124,43,18,8,2,15,36,48,15,13,0.939484126984,0.833333333333,0.433333333333
1991,CUMMITE01,1288,665,109,62,38,122,219,548,187,5,1.00328066995,1.21084337349,0.384615384615
1991,DAUGHBR01,1932,934,320,76,95,222,237,700,532,0,1.09795660417,1.59052856311,0.0
1991,DAVISDA01,403,429,32,27,79,50,199,158,87,0,0.951971326165,0.572368421053,0.0
1991,DIVACVL01,444,269,75,60,38,106,131,172,95,5,0.844105348104,1.66785714286,0.263157894737
1991,DONALJA01,574,582,66,16,99,98,208,226,122,0,2.20628627369,2.41168327796,0.0
1991,DOUGLSH01,635,130,354,50,18,140,164,243,147,2,1.7935345801,2.57652870494,0.211111111111
1991,DREILGR01,117,96,25,10,16,31,125,43,30,1,0.494252873563,0.75,1.0
1991,DREXLCL01,2456,655,659,169,90,298,306,892,539,133,0.936072054838,1.6010769498,0.571846007743
1991,DUCKWKE01,1129,614,140,49,49,188,340,469,191,0,0.955930166808,1.35064284522,0.0
1991,DUDLECH02,474,764,61,40,189,80,289,195,84,0,0.759685230024,0.96783625731,0.0
1991,DUMARJO01,1719,196,391,76,13,200,156,619,427,54,0.9183380446,1.65684210526,0.908333333333
