Season,Player,player_pts,player_reb,player_asts,player_stl,player_blk,player_turnover,player_pf,player_fg,player_ft,player_tp,player_fgp,player_ftp,player_tpp
1993,ABDULMA01,1592,186,392,87,11,165,179,645,248,54,0.829864037448,1.8918157487,0.640113798009
1993,AINGEDA01,692,154,201,63,9,86,166,251,93,97,0.874759334659,1.54407294833,0.752868852459
1993,ANDERKE02,1601,334,811,167,15,275,212,595,368,43,0.768940917746,1.48463356974,0.60303030303
1993,ANDERNI01,1320,486,304,139,35,170,156,517,177,109,0.860531309298,1.422,0.721656050955
1993,ANDERWI01,988,250,359,76,48,157,194,408,149,23,0.849107171688,1.4193817878,1.32352941176
1993,ANTHOGR01,750,216,424,133,21,158,218,270,144,66,0.745608034151,1.35714285714,0.595081967213
1993,ARMSTBJ01,1365,194,348,88,9,140,168,534,230,67,0.994538232373,1.67280736884,1.02777777778
1993,ASKEWVI01,763,190,203,75,19,72,155,283,191,6,0.838624338624,1.67148914941,0.193548387097
1993,ASKINKE01,85,83,13,11,1,23,57,36,9,4,0.409090909091,0.9,0.190476190476
1993,AUGMOST01,1331,423,215,156,47,162,205,485,360,1,1.02672617416,1.47428778368,0.142857142857
1993,AVENTAN01,797,687,131,66,62,171,296,306,185,0,1.58310812617,3.00709277087,0.0
1993,BARKLCH01,1678,857,344,126,46,233,186,628,360,62,1.00447914454,1.46717618665,0.619662921348
1993,BATTLJO01,341,39,85,22,1,41,66,131,74,5,1.47619047619,0.752577319588,0.263157894737
1993,BENJABE01,739,520,45,37,98,102,214,290,159,0,0.892240087886,1.58528037383,0.0
1993,BENOIDA01,473,327,33,30,48,53,146,187,84,15,0.778484174197,1.41272727273,0.390889830508
1993,BLACKRO01,408,96,79,25,6,45,106,164,48,32,0.709041635871,0.905660377358,0.857142857143
1993,BLAYLMO01,1261,479,887,236,49,228,166,492,141,136,0.75191765425,1.56289308176,0.67806085044
1993,BONDWA01,177,62,31,17,12,17,94,63,32,19,0.403846153846,1.275,0.351851851852
1993,BONNEAN01,401,372,90,81,13,102,197,172,57,0,1.01704545455,1.01465201465,0.0
1993,BOWIEAN01,320,120,102,32,12,58,84,139,41,1,0.480968858131,0.836734693878,0.0555555555556
1993,BRANDTE01,632,163,282,85,16,112,109,242,141,7,1.05128697657,1.52469135802,0.21875
1993,BROOKKE01,90,23,3,0,2,12,19,38,10,4,0.649350649351,1.4,0.173913043478
1993,BROOKSC01,392,104,152,51,2,55,101,147,74,24,1.3246828143,0.870588235294,1.37704918033
1993,BROWNPJ01,462,501,96,71,95,75,190,169,123,1,0.637645107794,1.75657894737,0.166666666667
1993,BRYANMA01,452,327,39,34,31,69,194,190,72,0,0.775888480392,0.692307692308,0.0
1993,BULLAMA01,242,94,64,15,8,28,73,82,26,52,0.555659059152,1.51923076923,0.524675324675
1993,BURTOWI01,373,136,39,18,20,55,99,125,120,3,0.68816254417,0.759493670886,0.2
1993,CAGEMI01,392,471,49,81,43,54,194,177,38,0,0.919585987261,0.81981981982,0.0
1993,CARRAN01,216,52,18,10,24,15,82,83,50,0,0.942045454545,1.61302681992,0.0
1993,CARTWBI01,276,196,68,11,10,56,109,112,52,0,0.838670400584,1.49671052632,0.0
1993,CASSESA01,647,193,285,80,12,141,198,225,154,43,0.811275773196,1.70598636019,0.673232323232
1993,CEBALCE01,1111,388,99,67,25,104,133,468,175,0,0.996956786366,1.55731523379,0.0
1993,CHAMBTO01,986,371,91,45,41,97,282,364,244,14,0.800664314461,1.5795803166,0.311111111111
1993,COLEMDE01,1657,927,272,70,147,226,221,568,478,43,0.844536077458,1.55425044092,0.869605142332
1993,COLESBI01,657,173,280,82,13,118,147,258,120,21,0.980855163367,1.56123464985,0.45202020202
1993,CONNELE01,37,28,31,15,1,9,14,16,5,0,0.768421052632,1.5,0.0
1993,CORBITY01,759,468,137,120,27,103,243,309,131,10,0.842574765755,1.74583333333,0.540229885057
1993,CROTTJO01,144,34,86,16,1,28,42,49,33,13,0.818181818182,1.86111111111,1.45833333333
1993,CUMMITE01,461,322,52,36,16,63,147,194,73,0,0.927570093458,1.42211838006,0.0
1993,CURETEA01,22,41,2,1,2,4,24,10,2,0,1.05,1.0,0.0
1993,DANIELL01,392,120,97,29,17,62,73,148,48,48,0.776344086022,1.71875,0.852
1993,DAVISAN01,760,611,62,56,102,129,236,264,231,1,1.04756113681,1.20299016657,1.0
1993,DAVISDA01,894,877,111,66,123,132,266,364,166,0,1.05751150879,0.832766439909,0.0
1993,DAVISHU01,735,88,191,45,7,99,161,282,108,63,0.834923492349,1.54399271845,0.687229437229
1993,DELEBI01,750,535,61,53,98,121,257,293,164,0,1.09357985481,1.30782568489,0.0
1993,DELNEVI01,802,168,338,65,1,108,174,321,143,17,0.931826147914,1.42352941176,0.848837209302
1993,DREXLCL01,1387,486,355,106,36,176,209,504,305,74,0.852711832889,1.60326086957,0.554970144011
1993,DUDLECH02,23,39,5,10,3,3,34,10,3,0,0.64,1.0,0.0
1993,EDWARDO01,43,18,8,2,6,6,9,17,9,0,0.34693877551,0.5625,0.0
1993,EDWARKE01,1193,297,241,125,35,144,159,489,180,35,0.818171206226,1.69815668203,0.353535353535
1993,EHLOCR01,946,309,313,147,26,143,193,366,129,85,0.870056497175,1.43560606061,0.696242376549
1993,ELIEMA01,760,221,246,58,11,130,154,250,194,66,0.842578346425,1.71139902532,0.647829341317
1993,ELLISDA01,1212,265,81,69,11,79,147,495,86,136,0.889661143311,1.37570093458,0.688695960312
1993,ELLISLA01,1392,779,193,72,91,191,350,551,280,10,0.980430871835,1.37779841122,0.804347826087
1993,ENGLIJO01,144,48,40,9,11,37,65,61,13,9,0.850775193798,0.97619047619,0.720588235294
1993,EWINGPA01,2486,1178,244,122,293,343,369,955,568,8,0.932265752625,1.51920603799,0.649350649351
1993,FERREDU01,591,160,82,49,19,69,109,209,171,2,0.882313523474,1.53260869565,0.361111111111
1993,FERRYDA01,350,141,75,28,22,42,114,149,38,14,0.446107784431,0.883720930233,0.274509803922
1993,FLEMIVE01,453,144,211,50,7,109,125,186,81,0,0.97542204568,1.58563218391,0.0
1993,FLOYDSL01,206,71,102,12,8,65,74,72,54,8,0.584928229665,1.16666666667,0.222222222222
1993,GAINECO01,33,15,32,2,0,5,16,9,13,2,0.45,0.866666666667,0.4
1993,GATLICH01,697,414,45,42,64,86,233,279,139,0,1.20323710996,1.38942307692,0.0
1993,GEIGEMA01,522,307,32,36,29,61,202,202,117,1,0.573863636364,1.27852348993,0.2
1993,GILLIAR01,1012,525,70,40,68,109,136,363,286,0,0.951440400207,1.50900277008,0.0
1993,GILLKE01,1178,292,285,157,33,149,206,455,228,40,0.876057791538,1.40086580087,0.538888888889
1993,GRAHAPA01,60,12,13,4,5,5,11,22,13,3,0.868421052632,0.764705882353,0.230769230769
1993,GRANTHA01,832,360,110,71,51,57,181,373,84,2,0.975099835565,0.641221374046,0.285714285714
1993,GRANTHO01,1219,843,262,84,102,119,187,525,168,1,1.06558466211,1.33374741201,1.0
