Season,Player,player_pts,player_reb,player_asts,player_stl,player_blk,player_turnover,player_pf,player_fg,player_ft,player_tp,player_fgp,player_ftp,player_tpp
2003,ALLENMA01,241,149,20,14,37,31,102,105,31,0,0.868171511029,1.42424242424,0.0
2003,ALSTORA01,929,255,394,120,19,138,234,316,124,173,0.694335768943,1.60865671642,0.601736972705
2003,ANDERCH01,249,312,37,35,116,50,122,93,63,0,0.776683087028,0.588785046729,0.0
2003,ANDERKE02,266,82,126,27,5,55,76,115,35,1,0.727120535714,0.729166666667,0.25
2003,ANDERSH01,652,231,133,72,18,126,201,245,124,38,0.681245074862,1.26397515528,0.566964285714
2003,ANTHOCA01,1785,531,238,102,41,264,236,645,424,71,0.754063566553,1.57714285714,0.50424808836
2003,ARMSTBR01,157,45,17,13,2,24,53,68,2,19,0.621428571429,0.5,0.365384615385
2003,ARMSTDA01,864,241,327,139,16,168,158,299,126,140,0.63067455243,1.85416666667,0.514685314685
2003,ARTESRO01,1609,483,320,173,66,239,239,566,383,94,0.799241687731,1.45113225245,0.597796143251
2003,ATKINCH01,1130,200,461,93,4,194,206,401,163,165,1.62473041861,3.14602217203,1.31052785949
2003,AUGMOST01,449,193,92,61,16,89,127,161,126,1,0.787103746398,1.68025579536,0.142857142857
2003,BAKERVI01,1084,572,133,61,66,156,328,424,234,2,1.96145496145,2.8360352846,0.833333333333
2003,BANKSMA01,500,140,182,90,14,128,180,184,103,29,0.837952488688,1.75572519084,0.713953488372
2003,BARRODA01,6,0,0,0,0,0,2,2,2,0,0.666666666667,1.0,0.0
2003,BARRYJO01,372,141,157,60,8,57,70,128,62,54,0.737373737374,1.5117370892,0.702898550725
2003,BATTISH01,688,315,102,101,59,60,204,248,124,68,0.845672191529,1.39837398374,0.778033794163
2003,BENDEJO01,225,68,16,7,25,45,42,78,51,18,0.877495214657,1.57978723404,0.769090909091
2003,BIBBYMI01,1746,327,528,135,23,210,186,611,352,172,0.878998778999,1.68774067755,0.827898027898
2003,BILLUCH01,1696,346,582,115,10,249,234,502,525,167,0.778189681804,1.76796675192,0.733854094016
2003,BLOUNMA01,891,626,79,86,114,159,270,359,173,0,1.05193945128,1.45629911884,0.0
2003,BOWENBR01,625,282,123,88,36,94,190,234,69,88,0.785398090179,0.80971659919,0.742517891997
2003,BOWENRY01,48,87,18,18,16,6,47,19,10,0,1.33962264151,0.833333333333,0.0
2003,BOYKIEA01,906,155,314,56,4,106,90,349,148,60,0.863504496664,1.73368606702,0.678780284043
2003,BRADLSH01,219,173,20,33,74,17,131,89,41,0,0.473404255319,0.836734693878,0.0
2003,BROWNDE02,286,148,42,18,5,45,79,103,70,10,0.920159955874,1.39904610493,0.885714285714
2003,BROWNPJ01,898,758,170,81,84,114,219,365,168,0,0.842320778604,1.76314496314,0.0
2003,BRYANKO01,2096,463,451,154,35,232,235,706,589,95,0.851074038533,1.66503537603,0.574611620505
2003,BUFORRO01,53,20,10,8,1,4,11,24,4,1,0.755952380952,1.0,0.333333333333
2003,BUTLECA01,790,436,157,103,20,114,207,299,180,12,0.765969567965,1.58024322169,0.419913419913
2003,BUTLERA01,325,72,25,11,13,29,84,128,16,53,0.885090909091,0.761904761905,0.796296296296
2003,CAMBYMA01,685,784,144,90,194,104,260,289,106,1,0.968140420599,1.29201680672,0.5
2003,CAMPBEL01,391,234,55,27,59,72,165,148,95,0,0.725204731574,1.24103942652,0.0
2003,CARTEMA01,84,22,8,0,0,18,20,22,32,8,0.957142857143,2.34166666667,1.07196969697
2003,CASSESA01,1868,311,662,114,21,263,300,714,341,99,0.953535511031,1.72557079887,0.814516129032
2003,CATOKE01,447,506,74,57,100,89,221,174,99,0,1.03813131313,1.1046277666,0.0
2003,CHRISDO01,997,403,394,173,46,177,221,373,189,62,0.857918934521,1.71463178295,0.739009816475
2003,COLLIJA03,502,444,170,70,66,112,300,177,148,0,0.792900219298,1.48913043478,0.0
2003,COOKBR01,167,113,21,17,16,20,71,72,23,0,0.808510638298,1.75,0.0
2003,CROSHAU01,450,283,64,28,17,61,118,138,110,64,0.733076695292,1.70375457875,0.722222222222
2003,DANIEMA01,556,176,131,63,15,59,65,235,74,12,0.920583941606,1.40559440559,0.448412698413
2003,DAVISBA01,1659,316,550,169,32,234,199,597,262,203,0.772342768476,1.43087121212,0.647836454169
2003,DAVISRI01,2327,728,532,194,44,390,349,908,403,108,1.78860476221,2.81777195027,1.5060300207
2003,DELKTO01,197,60,30,28,7,17,46,70,37,20,0.380434782609,0.840909090909,0.30303030303
2003,DIVACVL01,879,522,454,61,82,187,253,345,187,2,0.906679598549,1.39297658863,0.153846153846
2003,DOLEAMI01,660,537,91,46,72,97,292,285,90,0,1.79159818716,2.6014957265,0.0
2003,DUNCATI01,1759,972,245,70,205,225,198,675,407,2,1.02328268869,1.23082336383,0.166666666667
2003,ELSONFR01,233,212,34,37,40,38,159,101,31,0,1.05569514238,1.16666666667,0.0
2003,FINLEMI01,1407,341,225,88,42,92,126,540,170,157,0.825838704766,1.44974093264,0.674636174636
2003,FISHEDE01,746,208,236,121,4,98,162,263,145,75,0.757835960961,1.45452847806,0.708684611478
2003,FOSTEJE01,555,715,76,84,32,73,226,222,111,0,1.12559424386,1.46883116883,0.0
2003,FOXRI01 ,18,23,18,3,2,9,21,8,1,1,0.4,0.5,0.142857142857
2003,FRANCST01,1406,475,531,146,36,315,275,480,366,80,0.831436245044,1.49971264368,0.703764705882
2003,GADZUDA01,428,347,30,52,105,45,187,185,58,0,1.02435530086,0.491525423729,0.0
2003,GARNEKE01,2425,1402,501,144,219,287,259,972,465,16,0.950681804529,1.56739784946,0.568313953488
2003,GASOLPA01,1455,620,208,48,138,192,195,534,383,4,1.05379272777,1.61428571429,0.266666666667
2003,GEORGDE01,725,382,123,102,46,99,234,276,86,87,0.838056042032,1.41041666667,0.722343721524
2003,GINOBEM01,1117,397,322,153,17,182,211,372,275,98,0.865059461209,1.620195241,0.644897959184
2003,GRANTBR01,756,636,79,58,43,100,305,331,94,0,0.900023304591,1.35324675325,0.0
2003,HAISLMA01,95,54,4,6,12,9,25,37,20,1,1.48648648649,0.714285714286,0.5
