Season,Player,player_pts,player_reb,player_asts,player_stl,player_blk,player_turnover,player_pf,player_fg,player_ft,player_tp,player_fgp,player_ftp,player_tpp
2001,ALEXAVI01,40,30,6,0,1,5,6,18,4,0,0.352941176471,0.5,0.0
2001,ANDERDE01,801,196,223,70,8,93,114,260,194,87,0.836928104575,1.74465811966,0.706140350877
2001,ANDERKE02,923,325,479,162,10,147,268,394,126,9,0.851997844766,1.54242424242,0.272727272727
2001,ARMSTDA01,1076,330,466,162,10,182,180,367,199,143,0.895779351644,1.69732868757,0.584540348803
2001,ARTESRO01,786,297,143,154,42,127,236,291,145,59,0.83036338225,1.35897435897,0.773303167421
2001,ATKINCH01,1070,182,297,78,12,142,202,411,96,152,0.830229564471,1.45637254902,0.769688644689
2001,AUGMOST01,405,253,116,66,13,66,136,156,93,0,0.817073170732,1.52428099953,0.0
2001,BAKERVI01,840,375,76,25,42,131,220,344,150,2,0.985362095532,1.41052114061,1.125
2001,BARRODA01,195,57,79,14,2,33,39,75,21,24,0.71875,0.777777777778,0.338028169014
2001,BARRYBR01,1203,464,440,150,41,174,194,415,202,171,0.919359642591,1.84615384615,0.861272609819
2001,BARRYJO01,819,252,295,99,21,130,148,284,113,138,0.963915583192,1.55603448276,0.916360669115
2001,BATTITO01,607,602,48,70,97,62,270,253,101,0,1.02939773405,1.29597069597,0.0
2001,BELLRA01,256,2,71,21,4,48,109,104,36,12,0.7625,0.75,0.272727272727
2001,BENDEJO01,587,248,64,21,52,101,153,201,140,45,0.930434782609,0.773480662983,0.36
2001,BIBBYMI01,1422,282,483,110,18,171,163,560,226,76,0.89637164471,1.62869020364,0.793294030951
2001,BILLUCH01,1093,241,467,69,18,147,183,371,221,130,0.873823648536,1.58461538462,0.793650793651
2001,BLOUNCO01,266,382,46,51,28,56,185,117,32,0,0.708167330677,1.39444444444,0.0
2001,BLOUNMA01,100,92,11,18,21,24,66,34,32,0,0.921052631579,1.81081081081,0.0
2001,BOWENBR01,480,195,102,73,32,73,144,180,53,67,0.799283301755,0.979166666667,0.818378378378
2001,BRADLMI01,30,25,4,0,6,6,11,13,4,0,0.52,0.5,0.0
2001,BRADLSH01,221,181,20,28,65,26,137,81,59,0,0.978527607362,0.921875,0.0
2001,BREWEJA01,5,12,10,2,0,4,6,2,1,0,0.4,0.5,0.0
2001,BROWNCH01,21,34,6,2,4,5,13,10,1,0,0.37037037037,0.5,0.0
2001,BROWNKE01,68,50,15,18,8,7,18,25,12,6,1.32857142857,0.6,1.18518518519
2001,BROWNPJ01,761,872,121,65,90,103,259,282,197,0,0.901049968374,1.61462477706,0.0
2001,BRUNSRI01,125,69,114,25,2,47,51,45,29,6,0.398230088496,0.707317073171,0.545454545455
2001,BRYANKO01,2525,552,525,145,52,277,293,936,598,55,0.902879093195,1.58714360986,0.629310344828
2001,BRYANMA01,77,57,11,8,4,7,52,34,9,0,0.904545454545,1.25,0.0
2001,BUCKNGR01,280,199,52,34,20,30,139,116,43,5,1.00525252525,1.43965517241,0.3125
2001,BUECHJU01,111,117,33,22,8,15,53,44,2,21,0.372881355932,0.5,0.35
2001,CAMPBEL01,1196,590,118,66,160,155,298,433,330,0,0.929081749485,1.50275735294,0.0
2001,CHILDCH01,344,173,388,60,5,143,192,118,67,41,0.716591591592,1.71690140845,0.745588235294
2001,CHRISDO01,1149,466,419,193,34,208,273,392,258,107,0.868954854669,1.65123966942,0.6171875
2001,CLARKKE01,982,643,96,60,130,154,277,406,170,0,1.03198924731,1.61141304348,0.0
2001,CLAXTSP01,492,2,212,100,6,98,153,185,118,4,0.733775811209,1.50490196078,0.121212121212
2001,COLEMDE01,939,555,108,43,58,124,168,353,201,32,0.974149659864,1.61497797357,0.645041705283
2001,COLLIJA03,399,342,88,34,53,84,220,129,140,1,0.784499672989,1.35911424904,0.5
2001,COLLIJA04,472,303,58,29,22,60,245,168,136,0,1.01619695497,1.74033149171,0.0
2001,CROSHAU01,540,309,79,27,30,73,113,193,103,51,0.812946428571,1.60087719298,0.671264367816
2001,CUMMIVO01,192,0,60,18,5,36,53,78,24,12,0.417112299465,0.75,0.260869565217
2001,CURRYDE01,388,86,65,27,8,44,54,151,37,49,0.806340057637,1.89189189189,1.14351145038
2001,CURRYMI01,386,182,139,51,10,65,239,147,80,12,1.01700111483,1.51848151848,0.653846153846
2001,DANIEAN01,848,203,243,55,15,75,117,304,177,63,0.894087938206,1.61601731602,0.665816326531
2001,DAVISAN01,1198,793,162,56,88,169,242,444,310,0,0.879086188993,1.42557861133,0.0
2001,DAVISBA01,1687,412,769,204,52,273,277,630,236,191,0.794512669174,1.17689658218,0.694358212984
2001,DAVISDA01,749,708,100,66,86,64,209,299,151,0,0.783072100313,1.20754716981,0.0
2001,DECLEAN01,162,163,22,23,23,35,133,67,28,0,0.44966442953,0.56,0.0
2001,DELKTO01,663,237,148,61,15,74,111,249,85,80,0.738199895343,1.38745704467,0.707023506089
2001,DIVACVL01,1104,820,324,97,114,195,305,408,283,5,0.935643198047,1.36980792317,0.516483516484
2001,DREWBR01,212,72,103,32,2,33,49,79,23,31,1.42857142857,0.793103448276,0.424657534247
2001,DROBNPR01,447,227,53,21,31,52,111,195,57,0,0.794685990338,1.25342465753,0.0
2001,DUDLECH02,48,82,13,3,14,15,43,20,8,0,0.4,0.533333333333,0.0
2001,DUNCATI01,2337,1172,352,67,242,300,239,846,643,2,0.961017397437,1.6206409514,0.433333333333
2001,ESCHMEV01,62,100,10,10,10,16,62,21,20,0,0.42,0.606060606061,0.0
2001,EWINGPA01,416,284,39,23,49,66,141,156,104,0,0.764444444444,1.28972783143,0.0
2001,FERRYDA01,257,110,56,16,10,24,89,86,35,50,0.732408834104,1.19444444444,0.784343434343
2001,FINLEMI01,1621,410,248,77,29,132,168,638,255,90,0.929571265076,1.73665338645,0.717664092664
2001,FISHEDE01,979,208,233,85,10,82,170,334,138,173,0.768554268554,1.63256113256,0.770632141215
2001,FOSTEJE01,487,580,77,74,39,88,245,184,115,4,0.987700117142,1.05433455433,0.633333333333
2001,FOXRI01 ,186,102,64,21,6,45,70,67,37,15,0.482014388489,0.755102040816,0.348837209302
2001,FUNDELA01,270,200,32,11,18,33,70,117,36,0,1.13605442177,1.60714285714,0.0
2001,GARNEKE01,1786,1037,437,101,131,241,195,683,382,38,0.898949729785,1.52008928571,0.818965517241
2001,GARRIPA01,918,368,108,62,29,71,248,339,64,176,0.801336375489,1.58561643836,0.815656565657
2001,GEORGDE01,676,371,122,82,52,78,241,253,96,74,0.776474481541,1.40793650794,0.599357945425
2001,GRANTHO01,626,512,113,60,50,53,125,272,82,0,0.87625772286,1.72072072072,0.0
2001,GRIFFAD01,435,238,110,77,13,45,148,189,41,16,1.08684253646,0.836734693878,0.296296296296
2001,HARPRMA01,1009,599,114,75,5,132,213,408,172,21,0.96062052506,1.52102102102,0.304347826087
2001,HARRILU01,852,261,134,66,6,77,128,314,172,52,0.952408955349,1.67155938594,0.736517719569
2001,HASTOKI01,28,21,5,1,1,3,10,12,4,0,1.28205128205,0.5,0.0
2001,HORRYRO01,726,633,293,110,105,118,274,244,138,100,0.846355498721,1.57208237986,0.761481010647
2001,HUDSOTR01,1001,149,261,57,6,171,123,372,191,66,0.809355828221,1.81312189055,0.352941176471
2001,HUNTELI01,509,128,139,68,19,60,139,201,20,87,0.692743764172,0.5,0.655669761273
2001,IVERSAL01,2033,287,352,181,13,249,110,710,526,87,0.77979811315,1.62148962149,0.624378109453
2001,JACKSBO01,1071,303,196,87,14,111,176,399,183,90,0.888176301733,1.60048028311,0.616544547096
2001,JACKSJA01,39,18,8,5,0,9,16,15,2,7,0.405405405405,0.5,0.35
2001,JACKSJE01,63,28,57,9,1,17,26,22,18,1,1.14285714286,1.0,0.5
2001,JACKSMA02,186,128,14,11,6,30,70,60,66,0,0.365853658537,0.825,0.0
2001,JAMESJE01,316,244,28,25,91,78,192,143,30,0,0.882146838669,0.5,0.0
2001,JEFFERI01,881,385,165,75,57,133,251,323,222,13,0.92176507258,1.26320754717,0.232142857143
2001,JOHNSAN02,144,43,69,37,1,28,54,57,25,5,0.788469601677,1.45818181818,0.433333333333
2001,JONESAL01,26,37,3,3,9,12,35,8,10,0,0.4,0.5,0.0
2001,JONESDA01,383,124,165,28,1,67,97,130,46,77,0.782360831657,1.47881355932,0.667264038232
2001,KEMPSH01,465,296,52,44,33,83,192,177,111,0,0.71568971569,1.49389312977,0.0
2001,KERRST01,288,64,68,14,1,25,55,108,44,28,0.898617511521,1.975,0.643939393939
2001,KIDDJA01,1599,758,990,209,28,353,176,592,281,134,0.806291144142,1.62184599027,0.510317460317
2001,KIRILAN01,915,417,98,123,169,114,166,296,298,25,0.843094109682,1.58069407008,0.25
2001,KITTLKE01,1343,338,261,162,40,126,145,532,163,116,0.901142631994,1.52196382429,0.669664560039
2001,LAFRERA01,1141,640,94,57,235,100,320,460,111,110,0.957608695652,1.24081878387,0.721393034826
2001,LARUERU01,213,55,77,18,7,47,64,79,36,19,0.769594594595,1.45714285714,0.74
2001,LEWISQU01,161,46,38,25,10,35,99,72,13,4,0.795378534509,0.65,0.366666666667
2001,LEWISRA01,1233,509,125,105,40,99,184,467,175,124,0.843106995885,1.81,0.555907172996
2001,LIVINRA01,61,31,36,11,2,3,18,22,15,2,0.68954248366,1.90909090909,0.458333333333
2001,LOPEZFE01,173,81,40,19,1,37,79,60,38,15,0.628205128205,1.17272727273,0.924242424242
2001,LYNCHGE01,241,262,68,50,20,51,101,102,34,3,0.860212292416,1.31730769231,0.5
2001,MACCUTO01,727,482,92,29,116,89,232,299,129,0,1.02174883343,1.28363493312,0.0
2001,MADSEMA01,167,164,44,16,13,23,105,66,35,0,0.452054794521,0.648148148148,0.0
2001,MAGLOJA01,797,505,36,27,101,135,231,250,297,0,1.10072463768,1.49029311001,0.0
2001,MALONKA01,1868,716,359,157,62,274,240,665,529,9,0.864854543852,1.51084283479,0.36
2001,MARSHDO01,916,474,112,53,73,129,155,364,172,16,0.938910741301,1.45796460177,0.809523809524
2001,MARSHDO02,33,21,5,3,0,2,15,9,13,2,0.475862068966,1.66666666667,0.5
2001,MARTIKE01,1422,504,249,114,146,224,347,574,257,17,0.886920067841,1.36881171263,0.446102819237
2001,MASHBJA01,858,243,172,45,6,110,80,303,211,41,0.407258064516,0.875518672199,0.366071428571
2001,MASONDE01,990,382,113,71,29,109,181,381,211,17,0.88529190336,1.43633655994,0.604519774011
2001,MCCARWA01,256,162,45,22,7,26,102,97,20,42,0.891812865497,1.46198830409,0.560606060606
