Season,Player,player_pts,player_reb,player_asts,player_stl,player_blk,player_turnover,player_pf,player_fg,player_ft,player_tp,player_fgp,player_ftp,player_tpp
1996,ANDERKE02,1504,380,603,169,16,204,232,507,353,137,0.904821995335,1.71781609195,0.623813632442
1996,ANDERNI01,785,333,185,123,41,92,168,300,38,147,0.730574712644,0.404255319149,0.61975308642
1996,ANDERSH01,469,227,62,38,9,86,141,176,88,29,0.901658090337,1.40115440115,0.927304964539
1996,ANDERWI01,116,59,39,18,6,31,56,40,26,10,0.819791666667,1.75,0.671052631579
1996,ARMSTDA01,468,97,192,69,10,106,120,152,103,61,0.858799171843,1.71407837446,0.637200736648
1996,ASKINKE01,414,299,82,56,21,62,222,148,43,75,0.867384489573,1.6724137931,0.901162790698
1996,AUGMOST01,565,277,115,85,34,129,180,212,141,0,1.73068598069,2.8764098926,0.0
1996,AUSTIIS01,890,544,107,51,50,183,279,357,175,1,0.946791862285,1.47016842706,0.25
1996,BARKLCH01,1302,908,302,88,32,194,205,421,391,69,0.918447480586,1.46263262003,0.572400513479
1996,BARRYBR01,477,117,164,55,15,80,98,166,84,61,0.816378383661,1.70609318996,0.778244876511
1996,BARRYJO01,285,99,115,55,3,59,56,100,37,48,0.406504065041,0.804347826087,0.387096774194
1996,BLAYLMO01,1518,483,528,233,22,220,156,562,145,249,0.828373093688,1.41954022989,0.695305804441
1996,BLOUNCO01,244,278,36,22,25,50,123,93,57,1,1.51396648045,1.17469879518,0.333333333333
1996,BOGUEMU01,554,144,474,83,2,114,117,215,58,66,1.03944398242,1.84375,1.27380952381
1996,BROOKSC01,60,18,29,21,0,17,35,20,15,5,0.987179487179,1.93333333333,0.416666666667
1996,BROWNMI01,27,29,6,1,2,3,15,7,13,0,0.816666666667,1.475,0.0
1996,BROWNPJ01,883,799,102,94,118,129,323,342,199,0,0.865084063462,1.44879931389,0.0
1996,BROWNRA01,362,121,139,89,19,62,138,149,60,4,0.72042042042,1.27857142857,0.181818181818
1996,BRYANKO01,613,143,102,52,25,126,125,197,162,57,0.798879793193,1.6859437751,0.635869565217
1996,BRYANMA01,391,216,47,22,5,48,140,156,79,0,0.952727272727,1.7037037037,0.0
1996,BUECHJU01,172,149,65,26,22,28,65,71,8,22,0.786443446305,0.957142857143,0.666666666667
1996,BULLAMA01,326,119,67,21,18,38,69,116,25,69,1.4014084507,0.735294117647,1.36612021858
1996,BUTLEMI01,150,54,30,13,2,27,55,53,32,12,0.916,0.64,0.307692307692
1996,CAFFEJA01,590,343,104,28,12,109,176,220,150,0,0.987012987013,1.44448205823,0.0
1996,CAMPBEL01,1254,654,135,53,130,144,306,479,294,2,0.867063899733,1.5266002845,1.25
1996,CARRAN01,701,235,84,30,72,93,278,292,117,0,0.964686331533,1.52952755906,0.0
1996,CARRCH01,337,115,49,24,10,38,93,125,56,31,0.461254612546,0.767123287671,0.352272727273
1996,CEBALCE01,1491,686,131,70,49,178,238,575,286,55,1.66444160632,3.35082059989,1.00225645814
1996,CHAPMRE01,1019,197,195,54,7,111,122,373,141,132,0.937233580517,1.5122147651,0.808651804671
1996,CHEANCA01,882,279,118,80,20,99,236,387,104,4,0.944503842299,1.44343065693,0.133333333333
1996,CHILDCH01,709,240,457,98,9,208,252,249,132,79,0.850507099391,1.58447621827,0.732894177646
1996,CORBITY01,772,337,144,94,9,99,205,295,95,87,0.878188405797,1.7962962963,0.707120582121
1996,CROTTJO01,269,58,113,22,0,56,94,92,60,25,0.906926406926,1.70089285714,0.824829931973
1996,CUMMITE01,476,255,53,44,13,59,152,200,73,3,0.975023851711,1.36178861789,0.6
1996,CURRYDE01,1022,212,123,64,14,94,152,389,117,127,0.753447790599,1.80281690141,0.675675675676
1996,CURRYMI01,320,120,43,31,12,28,129,100,97,23,0.947963800905,0.898148148148,0.298701298701
1996,DEHERTE01,470,96,158,27,3,97,143,148,122,52,0.386422976501,0.824324324324,0.325
1996,DELEBI01,179,104,23,22,13,25,83,76,27,0,0.893467643468,1.24946236559,0.0
